
============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 337311 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (697):
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E61  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E62  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E63  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E64  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E65  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E66  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E67  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E68  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E69  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E70  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E71  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E72  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E73  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E74  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E75  | (1ª vez: 20/01/2026 17:32)
